bulgarian_word,russian_translation,example_sentence
Булка,Невеста,Тя е много красива булка.
Диня,Арбуз,Лятото ядем сладка диня.
Живот,Жизнь,Животът е прекрасен.
Закуска,Завтрак,Какво има за закуска?
Кал,Грязь,След дъжда има много кал.
Майка,Мать,Обичам моята майка.
Направо,Прямо,Вървете само направо.
Пари,Деньги,Нямам достатъчно пари.
Стая,Комната,Моята стая е уютна.
Стол,Стул,Седнете на този стол.
Гора,Лес,Обичам да ходя в гората.
Дума,Слово,Не разбрах нито една дума.
Мишка,Мышь,Мишката избяга бързо.
Неделя,Воскресенье,В неделя почиваме.
Списание,Журнал,Чета интересно списание.
Страница,Страница,Отвори на тридесета страница.
Буква,Буква,А е първата буква.
Вестник,Газета,Купих си днешния вестник.
Град,Город,Това е голям град.
Дар,Дар,Това е дар от сърце.
Етаж,Этаж,Живея на петия етаж.
Жена,Женщина,Тя е добра жена.
Зима,Зима,Зимата е студена.
Име,Имя,Какво е твоето име?
Йод,Йод,Сложих йод на раната.
Книга,Книга,Тази книга е интересна.
Лист,Лист,Един лист хартия.
Месо,Мясо,Не ям месо.
Нос,Нос,Имам малък нос.
Око,Глаз,Синьо око.
Път,Путь,Пътят е дълъг.
Ръка,Рука,Дай ми ръка.
Сърце,Сердце,Сърцето ми бие бързо.
Тяло,Тело,Здраво тяло.
Ухо,Ухо,Боли ме ухото.
Филм,Фильм,Гледах хубав филм.
Хляб,Хлеб,Купи топъл хляб.
Цвете,Цветок,Това е красиво цвете.
Час,Час,Колко е часът?
Шал,Шарф,Нося топъл шал.
Ябълка,Яблоко,Искаш ли ябълка?
Автомобил,Автомобил,Нов автомобил.
Баща,Отец,Баща ми работи много.
Време,Время,Времето лети.
Глава,Голова,Боли ме главата.
Дете,Ребенок,Детето си играе.
Езеро,Озеро,Езерото е дълбоко.
Животно,Животное,Обичам животните.
Звезда,Звезда,Виждам една звезда.
Изгрев,Восход,Красив изгрев.
Кола,Машина,Твоята кола е бърза.
Легло,Кровать,Меко легло.
Море,Море,Черно море.
Небе,Небо,Синьо небе.
Остров,Остров,Самотен остров.
Планина,Гора,Рила е висока планина.
Река,Река,Дунав е голяма река.
Слънце,Солнце,Слънцето грее.
Трева,Трава,Зелена трева.
Улица,Улица,Тиха улица.
Фурна,Печь,Топла фурна.
Храна,Еда,Вкусна храна.
Център,Центр,В центъра на града.
Чай,Чай,Пия горещ чай.
Шум,Шум,Чувам шум.
Ютия,Утюг,Нова ютия.
Яке,Куртка,Топло яке.
Брат,Брат,Имам по-голям брат.
Вилица,Вилка,Дай ми вилица.
Година,Год,Нова година.
Ден,День,Добър ден.
Език,Язык,Български език.
Желе,Желе,Сладко желе.
Зъб,Зуб,Боли ме зъб.
Игра,Игра,Забавна игра.
Кафе,Кофе,Пия кафе без захар.
Лято,Лето,Топло лято.
Маса,Стол,На масата има хляб.
Нощ,Ночь,Лека нощ.
Облак,Облако,Бял облак.
Плод,Плод,Сладък плод.
Рамо,Плечо,Широко рамо.
Село,Село,Живея на село.
Таван,Потолок,Висок таван.
Урок,Урок,Труден урок.
Флашка,Флешка,Забравих си флашката.
Химикалка,Ручка,Пиша с химикалка.
Цифра,Цифра,Една цифра.
Чаша,Стакан,Чаша вода.
Школа,Школа,Ходя на школа.
Щастие,Счастье,Пожелавам ти щастие.
Юли,Июль,Месец юли.
Ягода,Клубника,Сладка ягода.
Билет,Билет,Купих билет за влака.
Вход,Вход,Къде е входът?
Глас,Голос,Силен глас.
Дърво,Дерево,Старо дърво.
Есен,Осень,Златна есен.
Жар,Жар,Голяма жар.
Зора,Заря,Ранна зора.
Игла,Игла,Остра игла.
Камион,Грузовик,Голям камион.
Лампа,Лампа,Светни лампата.
Мляко,Молоко,Свежо мляко.
Нож,Нож,Остър нож.
